Date,Country,Event
06-02-2020,Taiwan,"Taiwan announced three more cases, bringing the total to 16."
06-02-2020,Singapore,"The United Kingdom saw the third case confirmed, with the patient having visited Singapore."
07-02-2020,Japan,"Another 41 tested positive for the coronavirus on Diamond Princess, bringing the total number of cases in Japan to 86."
07-02-2020,Germany,Germany announced its fourteenth case.
07-02-2020,Hong Kong,"Hong Kong confirmed 2 more cases, bringing the total number to 26."
07-02-2020,Malaysia,"Malaysia confirmed one more case from a tourist entering from Singapore, bringing the total to 15."
07-02-2020,Singapore,"Singapore confirmed three more cases, bringing the total to 33. Most of these cases were initially of unknown origin, causing the Disease Outbreak Response System Condition (DORSCON) level to increase to Orange."
08-02-2020,France,"France confirmed five cases involving British nationals, bringing the total number to 11."
08-02-2020,Japan,"Japan, three more cases tested positive on Diamond Princess, bringing the total number of cases in Japan to 89."
08-02-2020,Malaysia,"Malaysia confirmed one more case, bringing the total to 16."
08-02-2020,Singapore,"Singapore confirmed seven more cases, bringing the total number to 40."
08-02-2020,Thailand,"Thailand confirmed seven additional cases, bringing the total number to 32."
08-02-2020,United Arab Emirates,"United Arab Emirates confirmed two more cases, bringing the total number to seven."
09-02-2020,China,"China (Mainland) now confirmed a total of 40,213 cases, exceeding 40,000, of which 29,631 were in Hubei."
09-02-2020,Hong Kong,"Hong Kong confirmed ten more cases, with nine from the same family, bringing the total number to 36."
09-02-2020,Malaysia,"Malaysia confirmed one more case, bringing the total number to 17."
09-02-2020,Singapore,"Singapore confirmed three more cases, bringing the total number to 43."
09-02-2020,Spain,Spain confirmed the second case in the country in Palma de Mallorca.
09-02-2020,Taiwan,Taiwan confirmed its eighteenth case.
09-02-2020,United Kingdom,United Kingdom confirmed its fourth case.
09-02-2020,Japan,"Six more cases were confirmed aboard Diamond Princess, bringing the total number of cases on the ship to 70, with Japan having 96 cases."
10-02-2020,Hong Kong,"Hong Kong confirmed six more cases, bringing the total number to 42."
10-02-2020,Japan,"Japan confirmed 65 more cases on Diamond Princess, bringing the total to 135."
10-02-2020,Malaysia,"Malaysia confirmed one more case involving a citizen, bringing the total to 18."
10-02-2020,Singapore,"Singapore confirmed another two cases including a Certis officer who served Quarantine Orders, bringing the total to 45."
10-02-2020,India,"United Arab Emirates confirmed its eighth case, an Indian national."
10-02-2020,France,"United Kingdom saw four additional cases were confirmed, bringing the total to eight. The transmission in these cases is believed to have occurred in France."
10-02-2020,United States,"United States of America confirmed its thirteenth case in San Diego, a patient who had been evacuated from Wuhan."
11-02-2020,Germany,"Germany confirmed two more cases, bringing the total number to 16."
11-02-2020,Hong Kong,"Hong Kong confirmed seven more cases, bringing the total to 49."
11-02-2020,Singapore,"Singapore confirmed another two cases, bringing the total to 47."
11-02-2020,Thailand,"Thailand confirmed one new cases, bringing the total in the country to 33."
12-02-2020,Hong Kong,"Hong Kong confirmed one more case, bringing the total number to 50."
12-02-2020,Japan,"Japan confirmed 39 more cases on Diamond Princess, including one quarantine officer, bringing the total to 174."
12-02-2020,Singapore,"Singapore confirmed three more cases, bringing the total to 50."
12-02-2020,United Kingdom,"United Kingdom - The first case in London was confirmed, bringing the country's total to 9."
12-02-2020,United States,"United States of America confirmed one more case, bringing the total number to 14."
12-02-2020,Australia,First Commercially Released Song is released about the Coronavirus - Coronavirus Patient Zero - by Australian Singer-Songwriter Jason Penna
13-02-2020,Japan,"Japan confirmed four more cases, bringing the total to 33."
13-02-2020,Hong Kong,"Hong Kong confirmed three more cases, bringing the total number to 53."
13-02-2020,Malaysia,"Malaysia confirmed one more case, bringing the total number to 19."
13-02-2020,Singapore,"Singapore confirmed eight more cases, bringing the total number to 58. A school in National University of Singapore will conduct e-learning from 14 to 21 February as a precaution after one of the cases involved a professor."
14-02-2020,Canada,"Canada confirmed British Columbia's fifth presumptive case, bringing the total number in the country to 8."
14-02-2020,Egypt,"Egypt confirmed its first case, a foreigner of undisclosed nationality. This was the first case on the African continent."
14-02-2020,Hong Kong,"Hong Kong confirmed three more infections, bringing the total number to 56."
14-02-2020,Japan,"Japan confirmed four more cases, bringing the total number to 37."
14-02-2020,Singapore,"Singapore confirmed nine more cases, bringing the total number to 67."
15-02-2020,France,"France saw the first death outside Asia being confirmed, an 80 year old Chinese tourist in France. The country also confirmed its 12th case."
15-02-2020,Japan,Japan confirmed nine additional confirmed cases not aboard Diamond Princess.
15-02-2020,Cambodia,"Malaysia confirmed three more cases, including an American passenger from the cruise ship MS Westerdam flying from Cambodia, bringing the total number to 22."
15-02-2020,Singapore,"Singapore confirmed five more cases, bringing the total number to 72."
15-02-2020,Thailand,"Thailand confirmed one more case, bringing the total number to 34."
16-02-2020,Hong Kong,"Hong Kong confirmed one new coronavirus case, bringing the total to 57."
16-02-2020,Japan,"Japan also confirmed six new cases, bringing the total of infected people not aboard Diamond Princess to 59."
16-02-2020,Singapore,"Singapore confirmed three more cases, bringing the total number to 75."
16-02-2020,Taiwan,"Taiwan confirmed its first death from COVID-19, a man in his 60s. Moreover, two new cases were confirmed, bringing the total number to 20."
16-02-2020,United Arab Emirates,"United Arab Emirates confirmed one more case, a 37-year-old Chinese citizen, bringing the total number to 9."
17-02-2020,Hong Kong,"Hong Kong confirmed three more cases, bringing the total number to 60."
17-02-2020,Japan,"Japan confirmed seven new cases, bringing the total of infected people not aboard Diamond Princess to 66. Diamond Princess in Japan confirmed 99 new coronavirus cases, bringing the total number of infected people on the cruise ship to 454."
17-02-2020,Singapore,"Singapore confirmed two more cases, bringing the total number to 77."
17-02-2020,Taiwan,"Taiwan confirmed two more cases, bringing the total number to 22."
17-02-2020,Thailand,"Thailand confirmed one more case, bringing the total number to 35."
18-02-2020,Hong Kong,"Hong Kong confirmed two more cases, bringing the total number to 62."
18-02-2020,Japan,"Japan confirmed eight more cases across the nation, bringing the total to 74. At the same time, 88 additional cases aboard Diamond Princess were confirmed, bringing the total on the ship to 542."
18-02-2020,Singapore,"Singapore confirmed four more cases, bringing the total number to 81."
19-02-2020,Hong Kong,"Hong Kong confirmed its second death from the coronavirus. In addition, three new cases were confirmed, bringing the total number in Hong Kong to 65."
19-02-2020,Iran,Iran confirmed its first two cases resulting in deaths.
19-02-2020,Singapore,"Singapore confirmed three more cases, bringing the total number to 84."
19-02-2020,Taiwan,"Taiwan confirmed one more case, bringing the total number to 23."
20-02-2020,Hong Kong,"Hong Kong confirmed four more cases, bringing the total number to 69."
20-02-2020,Iran,"Iran confirmed three more cases, bringing the total number to five."
20-02-2020,Japan,"Japan confirmed ten more domestic cases, bringing the total number to 94."
20-02-2020,Singapore,"Singapore confirmed one more case, bringing the total number to 85."
20-02-2020,Taiwan,"Taiwan confirmed one more case, bringing the total number to 24."
20-02-2020,United States,"The United States confirmed one more case in California, bringing the total number to 16."
21-02-2020,Australia,"Australia confirmed four more cases involving evacuees from the cruise ship Diamond Princess, bringing the total number to 19."
21-02-2020,Canada,"Canada confirms one more case, a woman who had recently visited Iran, bringing the total number to nine."
21-02-2020,Israel,"Israel also confirmed its first case, an evacuee from Diamond Princess."
21-02-2020,Italy,"Italy confirmed 17 cases, bringing the total number to 20. Authorities also reported the first death, a 78-year-old man."
21-02-2020,Iran,"Iran announces 13 new cases, bringing the total to 18. Two more deaths were also confirmed."
21-02-2020,Japan,"Japan confirmed 15 more cases, bringing the total number to 109."
21-02-2020,Lebanon,Lebanon confirmed its first case.
21-02-2020,Singapore,"Singapore confirmed one more case, bringing the total number to 86."
21-02-2020,Taiwan,"Taiwan confirmed two more cases, bringing the total number to 26."
21-02-2020,United Arab Emirates,"United Arab Emirates confirmed two more cases, bringing the total number to 11."
21-02-2020,United States,"The United States confirmed 20 more cases, bringing the total number to 35."
22-02-2020,Australia,"Australia confirmed three more cases, bringing the total number to 22."
22-02-2020,Hong Kong,"Hong Kong confirmed one more case, bringing the total number to 70."
22-02-2020,Iran,"Iran confirmed 10 more cases, bringing the total number to 28. A fifth death was also confirmed."
22-02-2020,Italy,"Italy confirmed 59 more cases spread across three different administrative regions, bringing the total number to 79, making Italy the European country with the biggest number of cases of coronavirus infections."
22-02-2020,Japan,"Japan confirmed 26 more cases, bringing the total number to 135."
22-02-2020,Singapore,"Singapore confirmed three more cases, bringing the total number to 89."
22-02-2020,United Arab Emirates,"The United Arab Emirates confirmed two more cases, bringing the total number to 13."
23-02-2020,Canada,Canada confirmed one more presumptive case in Ontario. The samples had been sent to the National Microbiology Lab for further testing.
23-02-2020,Hong Kong,"Hong Kong confirmed four more cases, bringing the total number to 74."
23-02-2020,Iran,"Iran confirmed 15 more cases and two more deaths, bringing the total number to 43 and 8 respectively."
23-02-2020,Israel,"Israel confirmed one more case, who was a passenger on the cruise ship, bringing the total number to 2."
23-02-2020,Italy,"Italy confirmed 73 new cases, bringing the total to 152 spread across five different administrative regions."
23-02-2020,Taiwan,"Taiwan confirmed two more cases, bringing the total number to 28."
23-02-2020,United Kingdom,"The United Kingdom confirmed four new cases, all involving evacuees from the Diamond Princess cruise ship, bringing the total number to 13."
24-02-2020,Afghanistan,Afghanistan confirmed its first case involving a person who recently returned from the Iranian city of Qom.
24-02-2020,Bahrain,Bahrain confirmed its first case involving a Bahraini citizen who travelled to Iran.
24-02-2020,Canada,"Canada confirmed one more case in British Columbia, bringing the total number to 11."
24-02-2020,Hong Kong,"Hong Kong confirmed seven more cases, bringing the total number to 81."
24-02-2020,Iran,"Iran confirmed 18 more cases, bringing the total number to 61. Four more deaths were also reported in the country, bringing the total number to 12."
24-02-2020,Iran,Iraq confirmed its first case involving an Iranian student.
24-02-2020,Italy,"Italy confirmed 74 new cases, bringing the total to 229 spread across six different administrative regions."
24-02-2020,Iran,Kuwait announced their first cases involving five people arriving from the Iranian city of Mashhad.
24-02-2020,Iran,Oman confirmed its first cases involving two Omani women who had come from Iran.
24-02-2020,Singapore,"Singapore confirmed one more case, bringing the total number to 90."
24-02-2020,Spain,"Spain confirmed its third positive case, an Italian man, in Tenerife, Canary Islands."
24-02-2020,Taiwan,"Taiwan confirmed two more cases, bringing the total number to 30."
24-02-2020,United States,"The United States confirmed 18 more cases including evacuated passengers from the cruise ship, bringing the total number to 53."
25-02-2020,Algeria,"Algeria reported its first case, an Italian man who arrived on 17 February."
25-02-2020,Austria,"Austria reported its first two cases, two Italians living in Tyrol tested positive for the coronavirus."
25-02-2020,Bahrain,"Bahrain confirmed its second case, a Bahraini woman who had travelled from Iran through Dubai International Airport."
25-02-2020,Brazil,"Brazil Ministry of Health reported the first positive case of coronavirus in the country and South America, a 61-year-old man from São Paulo, who travelled to Lombardy, Italy, between 9 and 21 February. He was showing mild symptoms and quarantined at home, the confirmation test was also positive."
25-02-2020,Croatia,"Croatia announced its first case of the virus, with a patient hospitalised in the capital, Zagreb, who had travelled to Italy and stayed in Milan."
25-02-2020,China,France saw two additional cases: one was a French man returning from a trip in the Lombardy region of Italy; the other was a young Chinese woman returning to France from a trip to China. This took the total number of cases in the country to 14.
25-02-2020,Germany,"Germany saw a case identified in the state of North Rhine-Westphalia of a person recently returned from Italy, taking the country's cases to 17. Another man was later confirmed to be positive, bringing the total number to 18."
25-02-2020,Hong Kong,"Hong Kong confirmed three more cases, bringing the total number to 84."
25-02-2020,Iran,"Iranian officials confirmed the death toll was officially now 16. There were 34 more cases, bringing the total number to 95."
25-02-2020,Iran,"Iraq confirmed five more cases - an Iranian student and a family of four who had arrived from Iran, taking the total number of cases to 6."
25-02-2020,Italy,"Italy confirmed 94 new cases, bringing the total to 323 spread across nine different administrative regions. Three more deaths were also confirmed, bringing the total number to 10."
25-02-2020,Iran,"Kuwait confirmed four additional cases, all of them people who had returned from Iran, taking their total to 9 cases."
25-02-2020,Iran,"Oman confirmed two additional cases, taking its total to four cases.  Both the additional cases were linked to travel to Iran."
25-02-2020,Singapore,"Singapore confirmed one more case, bringing the total number to 91."
25-02-2020,Spain,"Spain, Canary Islands: on the island of Tenerife two Italian hotel guests tested positive for the virus. This resulted in hundreds of guests at the H10 Costa Adeje Palace hotel being isolated to facilitate further testing and to halt the spread of the disease."
25-02-2020,Switzerland,Switzerland's government announced the first infection in the country.
25-02-2020,Taiwan,"Taiwan confirmed one more case, an 11-year-old boy, bringing the total number to 31."
25-02-2020,Thailand,"Thailand reported two more cases, taking its total to 37. The two new cases, both Thai nationals, were people who were being monitored due to the travel history of others who had travelled to countries with infection  risks."
26-02-2020,Belgium,"""...14 countries that have had cases have not reported a case for more than a week, and even more importantly, 9 countries have not reported a case for more than two weeks: Belgium, Cambodia, Finland, India, Nepal, Philippines, the Russian Federation, Sri Lanka and Sweden."""
26-02-2020,Australia,"Australia confirmed one more case, bringing the total number to 23."
26-02-2020,Bahrain,"Bahrain confirmed three additional cases, bringing its total to 26."
26-02-2020,Canada,Canada confirmed a new case in Toronto of a woman with travel history to Iran. This took the country's total to 12.
26-02-2020,Croatia,"Croatia confirmed its second and third cases, the second being the twin brother of the first patient"
26-02-2020,Finland,Finland reported its second case.
26-02-2020,France,"France confirmed three new cases, taking it to 17 cases. It also announced its second death from the disease, a 60-year-old French man who had been diagnosed the night before."
26-02-2020,Georgia,"Georgia reported its first case in the country, a Georgian native travelling from Iran."
26-02-2020,Germany,Germany reported five additional cases.
26-02-2020,Greece,"Greece confirmed its first case, a 38-year-old woman who had recently travelled to Italy."
26-02-2020,Hong Kong,"Hong Kong reported six new cases, including a 16-year-old boy and his 21-year-old sister who were both aboard Diamond Princess, bringing the total to 91 cases."
26-02-2020,Italy,"Italy confirmed 51 additional cases, bringing its total to 374. It also confirmed the twelfth death from the virus."
26-02-2020,Iran,"Iran confirmed four more deaths, taking the total to 19. Another 44 cases were confirmed, bringing the total number to 139."
26-02-2020,Japan,Japan confirmed its second death from the virus.
26-02-2020,Kuwait,Kuwait confirmed that their total of confirmed cases had risen to 12 with one new case. Later that day they confirmed the overall total had risen to 25.
26-02-2020,Lebanon,Lebanon confirmed its second case.
26-02-2020,Italy,"North Macedonia confirmed its first case, a woman who had recently returned home from Italy."
26-02-2020,China,"Norway confirmed its first case, a person who had returned from China."
26-02-2020,Iran,"Pakistan confirmed its first case, a 22-year-old man from Sindh province who had travelled to Iran, and also confirmed a second case with no further details."
26-02-2020,Romania,Romania confirmed its first case.
26-02-2020,Singapore,"Singapore confirmed two more cases, bringing the total number to 93."
26-02-2020,Spain,"Spain confirmed five more cases including a man who was hospitalised in Seville after testing positive, bringing the total number to 12. This was the first confirmed case in the southern region of Andalusia."
26-02-2020,Sweden,"Sweden reported a new case, the second in the country."
26-02-2020,Taiwan,"Taiwan confirmed an additional case, bringing its total to 32."
26-02-2020,Thailand,"Thailand confirmed three additional cases, bringing its total to 40 cases."
26-02-2020,United States,"The United States confirmed three new cases - one being a domestic case in California with no travel history, and the other two being former passengers aboard Diamond Princess - bringing the total number to 60."
26-02-2020,China,"For the first time, a case was re-imported back to China from another country; the patient travelled from Iran."
27-02-2020,Austria,"Austria reported its third case, the first in Vienna."
27-02-2020,Canada,"Canada confirmed the first human-to-human transmission in Toronto, the husband of the woman who had travelled to Iran, bringing the total cases in the country to 13."
27-02-2020,China,"China reported through the National Health Commission 433 new cases and 29 new deaths across the mainland. Of those, 409 cases and 26 deaths were in Hubei province."
27-02-2020,Denmark,"Denmark confirmed its first case, a person who had recently returned from Italy."
27-02-2020,Estonia,"Estonia reported its first case, an Iranian man who had recently returned from Iran."
27-02-2020,France,"France reported 20 new cases, raising the number of cases in the country to 38."
27-02-2020,Germany,Germany saw another case reported in North Rhine-Westphalia.
27-02-2020,Greece,"Greece confirmed two more cases, the first patient's daughter and another woman in Athens, bringing the total to 3 cases."
27-02-2020,Hong Kong,"Hong Kong reported two additional cases, both women infected after visiting a Hong Kong temple at the centre of a COVID-19 cluster. This took the total number of cases to 93."
27-02-2020,Iran,Iran reported that 22 people had now died amid 141 people infected by the virus.
27-02-2020,Iran,"Iraq reported a new case associated with travelling to Iran, the sixth in the country and the first in Baghdad."
27-02-2020,Israel,"Israel reported an additional case, a person who had travelled to Italy, bringing the total number to 3."
27-02-2020,Italy,"Italy reported that two more people had died, bringing the death toll to 14. The Civil Protection agency reported the number of confirmed cases had risen from 420 to 528."
27-02-2020,Japan,Japan reported 17 new cases. It confirmed a case involving a recovered patient being reinfected with COVID-19. The total number of local cases had increased to 186.
27-02-2020,Iran,"Kuwait confirmed the total cases in the country were 43, with all having recently travelled to Iran."
27-02-2020,Iran,Lebanon reported a third case with the person having travelled from Iran.
27-02-2020,Japan,"Malaysia confirmed an additional case, a woman who had recently travelled to Japan, bringing the total to 23. That made it the first case to be imported from Japan."
27-02-2020,Italy,"The Netherlands reported its first case, a person who had been skiing in Italy."
27-02-2020,Niger,"Nigeria confirmed its first case, an Italian citizen who worked in Nigeria and returned from Milan. It was the first case of coronavirus in sub-Saharan Africa."
27-02-2020,Norway,"Norway confirmed three additional cases, two in Oslo and one in Bærum, taking the total to four cases."
27-02-2020,Oman,"Oman reported an additional case, raising the country's total to 5."
27-02-2020,San Marino,San Marino confirmed its first case.
27-02-2020,Singapore,"Singapore confirmed three more cases, bringing the total number to 96."
27-02-2020,Spain,Spain saw a new case reported in Valencia
27-02-2020,Sweden,"Sweden had five new cases confirmed, one in the Uppsala region,"
27-02-2020,Switzerland,"Switzerland reported more cases, with a total of six confirmed cases across five cantons."
27-02-2020,United Arab Emirates,"The United Arab Emirates reported the recovery of two patients, and six new cases, bringing the total number to 19."
27-02-2020,Italy,"The United Kingdom confirmed two more cases, contracted in Italy and Tenerife, taking the total to 15 cases."
28-02-2020,Australia,"Australia confirmed one additional case, a former Diamond Princess passenger now in Western Australia, bringing the total number to 24."
28-02-2020,Azerbaijan,"Azerbaijan confirmed its first case, a Russian national who recently returned from Iran."
28-02-2020,Bahrain,"Bahrain announced three new cases, raising the total to 36."
28-02-2020,Belarus,"Belarus confirmed its first case, a student from Iran."
28-02-2020,Canada,"Canada reported two positive cases in Ontario. One of them had travel history to Iran, while the other had visited Egypt."
28-02-2020,China,"China confirmed an additional 327 new confirmed cases, of which 318 were in the province of Hubei. There were 44 deaths of which 41 were in Hubei, one in Xinjiang and two in Beijing."
28-02-2020,Croatia,"Croatia confirmed two new cases, one being the girlfriend of the first patient and the other the wife of the third patient, bringing the total number to 5."
28-02-2020,Denmark,"Denmark confirmed an additional case, bringing the total number to 2."
28-02-2020,Finland,"Finland confirmed an additional case, taking it to 3 confirmed cases."
28-02-2020,France,"France announced two new cases, bringing the total number to 40."
28-02-2020,Georgia,"Georgia confirmed a second case, a citizen who had returned from Italy. More than 18 people were reported to be in quarantine."
28-02-2020,Germany,"Germany reported cases totalling ""almost 60"", according to a Health Ministry official."
28-02-2020,Greece,"Greece confirmed an additional case, who had recently travelled to Italy. This was the country's fourth case."
28-02-2020,Hong Kong,"Hong Kong confirmed an additional case, a patient from Diamond Princess, bringing the total number to 94."
28-02-2020,Iceland,"Iceland confirmed its first case, a person who had returned from Italy."
28-02-2020,Iran,"Iran confirmed 143 new cases and 6 more deaths, with a total of 388 cases and 32 deaths."
28-02-2020,Iran,"Iraq confirmed an eighth case, a woman who recently came back from Iran."
28-02-2020,Israel,"Israel confirmed an additional case, the second in the country - the wife of the previous person diagnosed."
28-02-2020,Italy,"Italy reported that four more people had died, bringing the death toll to 21. The number of confirmed cases had risen from 650 (the day before) to 888."
28-02-2020,Japan,"Japan announced an additional death, bringing the total to 5."
28-02-2020,Kuwait,"Kuwait announced two additional cases, taking its total to 45."
28-02-2020,Lebanon,"Lebanon confirmed its fourth case, a Syrian man, the first case of local transmission."
28-02-2020,Italy,"Lithuania confirmed its first case, a woman who returned from Italy."
28-02-2020,Malaysia,"Malaysia confirmed two more cases, bringing the total number to 25."
28-02-2020,Mexico,"Mexico confirmed its first two cases, one in Mexico City and one in Culiacán."
28-02-2020,Monaco,Monaco saw the government confirm the first case in the principality.
28-02-2020,Iran,"New Zealand confirmed its first case, an individual who had returned from Iran to Auckland earlier in the week."
28-02-2020,Netherlands,The Netherlands confirmed its second case.
28-02-2020,Italy,"Norway confirmed two other cases, with the second having serious implications. First it was confirmed that a person from Bergen, who returned from Italy, tested positive. Later it was confirmed that a person working at Ullevaal Hospital in Oslo also tested positive, after having returned from Italy. According to standard recommendation he was told to go to work, since he had no symptoms, and he had worked with a significant number of patients for a couple of days before testing positive. Norway now has 6 confirmed cases."
28-02-2020,Italy,"Romania confirmed two new cases, both having recently returned from Italy."
28-02-2020,Singapore,"Singapore confirmed two more cases, bringing the total number to 98."
28-02-2020,Spain,"Spain confirmed more cases, taking it to 32 cases with 5 in Madrid, 8 in Comunidad Valenciana, 6 in the Canary Islands, 6 in Catalonia, 1 in the Balearic Islands, 6 in Andalucía, 1 in Aragón and 2 in Castilla y León."
28-02-2020,Sweden,"Sweden confirmed four more cases, raising the country's total to 11."
28-02-2020,Switzerland,Switzerland's cases increased to 15.
28-02-2020,Taiwan,"Taiwan confirmed two additional cases, taking its total to 34."
28-02-2020,Thailand,"Thailand confirmed an additional case, taking the overall number to 41."
28-02-2020,Iran,"The United Kingdom reported its 17th and 18th cases, in people who had travelled from Iran, and its 19th case and the first in Wales, being someone who had travelled from Northern Italy."
28-02-2020,United States,"The United States confirmed 4 more cases, including 2 former passengers of Diamond Princess."
29-02-2020,Australia,"Australia confirmed one more case, bringing the total number to 25."
29-02-2020,Austria,"Austria confirmed four new cases, bringing the total to 10."
29-02-2020,Azerbaijan,"Azerbaijan reported two new cases, both recently returned from Iran."
29-02-2020,Bahrain,"Bahrain confirmed three additional cases, all who had travelled to Iran, bringing the total number to 41."
29-02-2020,Brazil,"Brazil confirmed the second case, a 32-year-old man who arrived from Milan, Italy."
29-02-2020,Canada,"Canada confirmed four new cases, three in Ontario and one in British Columbia, bringing the total to 20."
29-02-2020,China,"China confirmed 427 new cases - 423 of which were in Hubei province - bringing the total number to 79,251. Deaths increased by 47, to a total of 2,835."
29-02-2020,Croatia,"Croatia confirmed its sixth case, a close relative of the third and fifth patients."
29-02-2020,Denmark,"Denmark confirmed its third case, a person recently returned from a trip to Munich, Germany, where he came into contact with someone who was later determined to have the virus."
29-02-2020,Ecuador,"Ecuador confirmed its first case, a woman who recently returned from a trip to Spain."
29-02-2020,France,"France confirmed 16 additional cases, bringing the total number to 73."
29-02-2020,Georgia,"Georgia confirmed one new case, taking the total number to 3."
29-02-2020,Germany,Germany's confirmed cases increased to 66.
29-02-2020,Greece,"Greece confirmed three new cases, two of which were close contacts of a previous confirmed case, the other had travelled to Italy."
29-02-2020,Iran,"Iran confirmed 205 new cases, and 9 new deaths, bringing the total to 593 infected and 43 dead."
29-02-2020,Iraq,"Iraq confirmed 5 new cases, bringing the total number to 13. Four of them are in Baghdad and the fifth is in Babil province."
29-02-2020,Ireland,"Ireland confirmed its first case, associated with travel to northern Italy."
29-02-2020,Italy,"Italy confirmed 239 new cases and 8 new deaths, bringing it to 1,128 cases and 29 deaths."
29-02-2020,Lebanon,"Lebanon confirmed three more cases, bringing the total number of cases to seven."
29-02-2020,Luxembourg,Luxembourg confirmed its first case.
29-02-2020,Italy,"Mexico confirmed two more cases, one man in the State of Mexico who participated in the same trip to Bergamo, Italy, that the first two infected made,"
29-02-2020,Netherlands,"The Netherlands confirmed four additional cases, bringing the total to 6."
29-02-2020,Norway,"Norway confirmed nine new cases, bringing the total to 15."
29-02-2020,Iran,"Pakistan confirmed two mores cases, bringing its total to 4. One is a person from Karachi who had recently traveled to Iran, and the other case was in the Federal Area."
29-02-2020,Iran,"Qatar confirmed its first case, a Qatari national who had recently returned from Iran."
29-02-2020,Singapore,"Singapore confirmed four more cases, bringing the total number to 102."
29-02-2020,Spain,"Spain confirmed 26 more cases, bringing the total number to 58."
29-02-2020,Sweden,"Sweden reported two new cases, taking the total to 13."
29-02-2020,Switzerland,"Switzerland confirmed 3 more cases, bringing the total number to 18."
29-02-2020,Taiwan,"Taiwan confirmed five more cases, bringing the total number to 39."
29-02-2020,Thailand,"Thailand confirmed one more case, bringing the total number to 42."
29-02-2020,United Kingdom,"The United Kingdom confirmed three additional cases, taking the total to 23."
29-02-2020,United States,"The United States confirmed its first death, a man from Washington near the Seattle area."
